id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,area_qual,age,yrs_sincerm
1950,30,RL,60.0,10800,Pave,Grvl,4,Lvl,1,Inside,3,OldTown,1Fam,1Story,4,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0.0,1.0,0.0,656.0,656.0,GasA,3,Y,5,968,0,0,968,0.0,0.0,2,0,4,1,3,5,8,0,0,Detchd,1.0,1.0,216.0,2.0,2.0,2,0,0,0,0,0,0,0,0,NA,0,8,2007,WD ,2,80,0
2524,190,RL,79.0,13110,Pave,NA,3,Lvl,1,Corner,3,NWAmes,2fmCon,1Story,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,144.0,3,3,CBlock,4.0,3.0,0.0,6.0,962.0,1.0,0.0,191.0,1153.0,GasA,5,Y,5,1193,0,0,1193,1.0,0.0,2,0,2,1,3,6,8,0,0,Attchd,3.0,2.0,501.0,3.0,3.0,2,140,153,0,0,0,0,0,3,NA,0,7,2006,WD ,0,34,34
498,60,RL,66.0,16545,Pave,NA,3,Lvl,1,Inside,3,NoRidge,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,731.0,4,3,PConc,4.0,3.0,2.0,6.0,781.0,1.0,0.0,503.0,1284.0,GasA,5,Y,5,1310,1140,0,2450,1.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,3.0,3.0,1069.0,3.0,3.0,2,0,126,0,0,0,0,0,0,NA,0,5,2009,WD ,2,11,11
378,80,RL,66.0,14115,Pave,NA,4,Lvl,1,Inside,3,NWAmes,1Fam,SLvl,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,3,3,CBlock,4.0,3.0,3.0,6.0,1036.0,1.0,0.0,336.0,1372.0,GasA,3,Y,5,1472,0,0,1472,1.0,0.0,2,0,3,1,3,6,8,2,3,Attchd,1.0,2.0,588.0,3.0,3.0,2,233,48,0,0,0,0,0,0,NA,0,6,2009,WD ,2,29,29
2574,80,RL,70.0,8163,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,SLvl,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,128.0,3,4,CBlock,3.0,3.0,3.0,5.0,748.0,4.0,294.0,102.0,1144.0,GasA,3,Y,5,1144,0,0,1144,1.0,0.0,1,0,3,1,3,6,8,1,3,Attchd,2.0,1.0,796.0,3.0,3.0,2,86,0,0,0,0,0,0,0,NA,0,3,2006,WD ,2,47,47
2142,20,RL,120.0,10356,Pave,NA,4,Lvl,1,Corner,3,CollgCr,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,3.0,4.0,716.0,1.0,0.0,253.0,969.0,GasA,3,Y,5,969,0,0,969,0.0,0.0,1,1,3,1,3,5,8,0,0,Attchd,1.0,2.0,440.0,3.0,3.0,2,0,0,0,0,0,0,0,3,NA,0,1,2007,WD ,2,32,32
2885,120,RM,44.0,3842,Pave,NA,3,HLS,1,Inside,5,Crawfor,TwnhsE,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,Stone,186.0,4,3,PConc,5.0,3.0,4.0,6.0,1564.0,1.0,0.0,30.0,1594.0,GasA,5,Y,5,1646,0,0,1646,1.0,1.0,2,0,2,1,4,5,8,1,4,Attchd,3.0,2.0,525.0,3.0,3.0,2,128,53,0,0,155,0,0,0,NA,0,12,2006,WD ,2,2,1
2681,50,RM,52.0,6240,Pave,NA,4,Lvl,1,Inside,3,BrkSide,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1042.0,1042.0,GasA,5,Y,5,1042,534,0,1576,0.0,0.0,1,0,3,1,3,8,8,1,4,Detchd,1.0,1.0,225.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,8,2006,WD ,2,78,56
2475,20,RL,63.0,13072,Pave,NA,4,Lvl,1,Inside,3,SawyerW,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,5.0,941.0,1.0,0.0,217.0,1158.0,GasA,5,Y,5,1158,0,0,1158,1.0,0.0,1,1,3,1,4,5,8,0,0,Detchd,1.0,2.0,576.0,3.0,3.0,2,0,50,0,0,0,0,0,0,NA,0,5,2006,New,1,2,2
2840,20,RL,60.0,16012,Pave,NA,3,Lvl,1,Inside,3,Edwards,1Fam,1Story,4,4,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,60.0,3,3,CBlock,3.0,3.0,0.0,3.0,691.0,1.0,0.0,263.0,954.0,GasA,5,Y,5,1482,0,0,1482,0.0,1.0,2,0,3,1,3,6,7,1,4,2Types,1.0,2.0,609.0,3.0,3.0,2,0,30,0,0,0,0,0,3,NA,0,10,2006,WD ,2,52,38
1658,20,RL,70.0,12243,Pave,NA,3,Lvl,1,Inside,3,NWAmes,1Fam,1Story,5,6,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3.0,3.0,5.0,998.0,1.0,0.0,486.0,1484.0,GasA,4,Y,5,1484,0,0,1484,0.0,0.0,2,0,3,1,3,7,8,1,3,Attchd,1.0,2.0,487.0,3.0,3.0,2,224,0,0,0,180,0,0,0,NA,0,2,2007,WD ,2,36,36
981,85,RL,50.0,7689,Pave,NA,3,Lvl,1,Inside,3,Mitchel,1Fam,SFoyer,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,3.0,6.0,720.0,4.0,76.0,0.0,796.0,GasA,4,Y,5,796,0,0,796,0.0,1.0,1,0,2,1,3,4,8,0,0,Detchd,1.0,1.0,336.0,3.0,3.0,2,138,0,0,0,0,0,0,3,NA,0,7,2009,WD ,2,37,37
2004,20,RM,52.0,8626,Pave,NA,4,Lvl,1,Inside,3,OldTown,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,1.0,3,3,CBlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,4,Y,5,968,0,0,968,0.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1.0,1.0,331.0,2.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,2,51,51
2628,90,RL,75.0,8512,Pave,NA,4,Lvl,1,Corner,3,NAmes,Duplex,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1556.0,1556.0,GasA,3,Y,5,1556,0,0,1556,0.0,0.0,2,0,4,2,3,8,8,0,0,NA,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,NA,0,9,2006,WD ,2,46,46
679,90,RL,60.0,7200,Pave,NA,4,Lvl,1,Inside,3,NAmes,Duplex,1Story,4,5,Gable,CompShg,BrkFace,Stone,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wall,2,N,3,1040,0,0,1040,0.0,0.0,2,0,2,2,3,6,8,0,0,Detchd,1.0,2.0,420.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,2,60,59
1941,20,RL,75.0,9532,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,1Story,4,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,595.0,3.0,354.0,156.0,1105.0,GasA,4,Y,5,1647,0,0,1647,1.0,0.0,1,0,3,1,3,6,7,1,2,Attchd,3.0,1.0,280.0,3.0,3.0,2,225,0,0,0,0,368,3,4,NA,0,2,2007,WD ,2,54,54
2900,20,RL,85.0,14331,Pave,NA,4,Lvl,1,Inside,3,Timber,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,630.0,4,3,PConc,5.0,3.0,4.0,6.0,1274.0,1.0,0.0,526.0,1800.0,GasA,5,Y,5,1800,0,0,1800,1.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,3.0,3.0,765.0,3.0,3.0,2,270,78,0,0,0,0,0,0,NA,0,5,2006,WD ,2,4,4
1738,60,RL,73.0,8499,Pave,NA,3,Lvl,1,Inside,3,Gilbert,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,1.0,0.0,1.0,0.0,616.0,616.0,GasA,5,Y,5,616,796,0,1412,0.0,0.0,2,1,3,1,4,6,8,1,4,BuiltIn,3.0,2.0,432.0,3.0,3.0,2,0,36,0,0,0,0,0,0,NA,0,3,2007,New,2,1,0
411,160,RL,24.0,2280,Pave,NA,4,Lvl,1,FR2,3,NPkVill,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4.0,3.0,0.0,5.0,566.0,1.0,0.0,289.0,855.0,GasA,3,Y,5,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1.0,2.0,440.0,3.0,3.0,2,87,0,0,0,0,0,0,0,NA,0,7,2009,WD ,2,33,33
29,120,RH,26.0,5858,Pave,NA,3,Lvl,1,FR2,3,NAmes,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4.0,3.0,0.0,6.0,1051.0,4.0,0.0,354.0,1405.0,GasA,5,Y,5,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,8,1,2,Attchd,3.0,2.0,511.0,3.0,3.0,2,203,68,0,0,0,0,0,0,NA,0,6,2010,WD ,2,11,11
1034,90,RL,60.0,9000,Pave,NA,4,Lvl,1,FR2,3,NAmes,Duplex,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,2.0,1.0,0.0,1.0,0.0,896.0,896.0,GasA,3,Y,5,896,896,0,1792,0.0,0.0,2,2,4,2,3,8,8,0,0,Detchd,1.0,2.0,480.0,3.0,3.0,2,0,45,0,0,0,0,0,0,NA,0,6,2008,WD ,2,34,34
158,50,RL,78.0,17503,Pave,NA,4,Lvl,1,Inside,3,NAmes,1Fam,1.5Fin,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,0.0,1.0,0.0,912.0,912.0,GasA,3,Y,5,912,546,0,1458,0.0,1.0,1,0,3,1,3,6,8,1,4,Attchd,1.0,1.0,330.0,3.0,3.0,2,192,0,0,0,0,0,0,0,NA,0,1,2010,WD ,1,62,60
2838,50,RL,60.0,9738,Pave,NA,4,Lvl,1,Inside,3,Edwards,1Fam,1.5Fin,5,7,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,4,BrkTil,3.0,3.0,0.0,4.0,392.0,1.0,0.0,392.0,784.0,GasA,4,Y,5,949,272,0,1221,1.0,0.0,1,0,4,1,3,7,8,0,0,Attchd,1.0,1.0,392.0,3.0,3.0,2,0,0,236,0,0,0,0,0,NA,0,3,2006,WD ,2,82,56
1542,20,RL,52.0,14778,Pave,NA,3,Low,1,CulDSac,3,Crawfor,1Fam,1Story,6,7,Hip,CompShg,HdBoard,HdBoard,BrkFace,72.0,4,3,CBlock,3.0,3.0,0.0,4.0,728.0,1.0,0.0,568.0,1296.0,GasA,5,Y,5,1640,0,0,1640,1.0,0.0,1,0,3,1,4,7,8,1,4,Detchd,1.0,2.0,924.0,3.0,3.0,2,108,0,0,216,0,0,0,0,NA,0,11,2008,WD ,3,54,2
1257,50,RL,60.0,10930,Pave,Grvl,4,Bnk,1,Inside,3,NAmes,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,580.0,1.0,0.0,333.0,913.0,GasA,3,Y,4,1048,510,0,1558,1.0,0.0,1,1,3,1,3,6,8,1,3,Attchd,1.0,1.0,288.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,4,2008,WD ,1,63,58
2471,20,RL,74.0,7733,Pave,NA,3,Lvl,1,Inside,3,SawyerW,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,2.0,6.0,24.0,1.0,0.0,1118.0,1142.0,GasA,5,Y,5,1142,0,0,1142,0.0,0.0,1,1,3,1,4,5,8,0,0,NA,0.0,0.0,0.0,0.0,0.0,2,4,50,0,0,0,0,0,0,NA,0,1,2006,WD ,2,1,1
1094,60,RL,71.0,8220,Pave,NA,3,Lvl,1,Inside,3,Gilbert,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,647.0,4,3,PConc,4.0,3.0,3.0,6.0,544.0,1.0,0.0,438.0,982.0,GasA,5,Y,5,1008,884,0,1892,0.0,0.0,2,1,3,1,3,8,8,1,3,Attchd,2.0,2.0,431.0,3.0,3.0,2,108,0,0,0,0,0,0,0,NA,0,7,2008,WD ,2,8,7
2355,80,RL,81.0,10530,Pave,NA,4,Lvl,1,Inside,3,NWAmes,1Fam,SLvl,6,6,Gable,CompShg,Plywood,Plywood,BrkFace,248.0,3,3,CBlock,3.0,2.0,0.0,5.0,548.0,1.0,0.0,127.0,675.0,GasA,3,Y,5,1109,766,0,1875,0.0,0.0,3,0,3,1,4,8,8,1,3,Attchd,2.0,2.0,485.0,3.0,3.0,2,48,28,0,0,0,0,0,0,NA,0,6,2006,WD ,2,31,6
815,90,RL,64.0,7007,Pave,NA,4,Bnk,1,Inside,3,SawyerW,Duplex,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,3,Y,5,1513,0,0,1513,0.0,0.0,2,0,4,2,3,8,8,0,0,Attchd,1.0,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,2,30,30
2420,120,RL,43.0,3087,Pave,NA,4,Lvl,1,Inside,3,Blmngtn,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,4,3,PConc,4.0,3.0,3.0,6.0,453.0,1.0,0.0,767.0,1220.0,GasA,5,Y,5,1364,0,0,1364,1.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,3.0,2.0,437.0,3.0,3.0,2,100,16,0,0,0,0,0,0,NA,0,11,2006,New,2,0,0
